"ID","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8_1","Q8_2","Q8_3","Q8_4","Q8_5","Q8_6","Q8_7","Q8_8","Q8_9","Q8_10","Q8_11","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Latitude","Longitude","mobile_money","savings","borrowing","insurance","mobile_money_classification"
5086,98,2,3,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,1,-1,4,4,-4.46044192,29.8113964,0,0,0,0,0
1258,40,1,1,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,4,1,5,4,4,1,4,-6.17643812,39.24487062,1,1,1,0,3
331,18,2,4,6,3,2,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,1,-1,1,1,-6.82570215,37.65279782,1,0,0,0,2
6729,50,1,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,2,2,-1,4,-1,1,4,-3.37204916,35.8083073,1,0,1,0,3
8671,34,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,1,1,-1,1,4,-7.17964514,31.03909501,1,1,0,1,3
5462,35,1,1,3,3,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,3,1,-1,1,1,-6.36233065,37.13774142,0,0,1,0,1
4886,31,2,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,1,5,1,3,1,-1,1,2,-8.08925722,35.83641476,1,1,1,1,3
621,23,2,4,5,5,2,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,1,1,4,1,4,5,1,2,2,-8.91602782,33.43390406,1,1,0,0,3
8302,56,2,3,3,3,2,2,0,1,0,1,0,1,0,0,0,0,0,-1,1,-1,1,5,1,6,5,-1,1,1,-3.97224706,32.64995093,0,1,1,0,1
4704,37,2,1,3,3,2,1,0,1,0,0,0,0,0,1,1,0,0,-1,1,-1,1,3,1,4,5,-1,1,4,-8.03397315,35.76941599,1,0,0,1,3
2758,18,2,4,5,5,2,1,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,1,6,1,6,1,-1,1,1,-3.61949115,33.81397392,1,1,1,0,3
2536,29,2,1,6,1,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,4,1,5,1,1,1,4,-8.8474963,34.82358667,1,0,0,0,2
8863,28,1,1,3,3,2,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,4,-10.74350336,34.73308437,0,1,1,0,1
5469,17,2,1,2,5,2,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,4,-8.29591748,31.50903394,0,0,0,0,0
3543,22,2,4,6,5,2,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,1,4,1,3,1,-1,1,1,-6.16905276,39.19848943,1,0,0,0,2
6554,53,2,1,3,1,2,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,4,-1.33874499,30.90011959,0,0,0,0,0
7769,21,2,4,6,3,2,1,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,2,-1,1,5,1,-1,1,1,-10.48837106,39.02761703,1,0,0,0,2
4226,24,2,4,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,7,-1,1,4,1,6,1,-1,1,1,-3.18034209,36.86123796,1,1,1,0,3
6997,38,1,4,2,2,2,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-1.26182551,30.67859149,1,1,1,0,3
987,30,2,3,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,7,-1,2,-1,2,-1,1,-1,1,1,-7.7826408,35.66559916,1,1,0,0,3
5576,27,2,1,3,1,2,2,0,1,0,0,0,0,0,0,1,0,0,-1,1,-1,2,-1,1,3,5,-1,1,4,-4.61491779,29.78760859,1,1,0,0,3
2272,42,2,1,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,1,6,1,-1,1,4,-2.59741921,32.91360135,1,0,1,0,3
8277,44,1,1,1,3,2,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,5,1,-1,4,4,-10.91885915,38.0026558,1,1,0,0,3
