salary,exprior,yearsworked,yearsrank,market,degree,otherqual,position,male,Field,yearsabs
53000,0,0,0,1.169999957,1,0,1,1,3,0
58000,1,0,0,1.24000001,1,0,1,1,2,0
45500,0,0,0,1.210000038,1,0,1,1,3,2
35782,0,2,1,0.99000001,1,0,1,1,4,1
34731,0,2,2,0.910000026,1,0,1,1,4,1
56000,1,0,0,1.190000057,1,0,1,1,1,0
61008,0,2,2,1.330000043,1,0,1,1,2,0
39986,0,2,0,0.99000001,1,0,1,1,4,0
36308,0,2,1,0.850000024,1,0,1,1,1,1
55000,0,0,0,1.230000019,1,0,1,1,1,1
55227,0,3,3,1.230000019,1,0,1,1,1,1
55227,0,3,3,1.230000019,1,0,1,1,2,1
33680,0,3,1,1.049999952,1,0,1,1,4,1
61008,0,3,3,1.24000001,1,0,1,1,4,1
37000,3,0,0,0.99000001,1,0,1,1,1,0
46292,0,2,2,1.139999986,1,0,1,1,2,0
33680,0,2,1,0.850000024,1,0,1,1,3,0
39754,0,1,0,0.879999995,1,0,1,1,3,2
34000,0,3,3,0.730000019,1,0,1,1,3,2
42614,0,2,2,0.879999995,1,0,1,1,2,0
55121,2,1,1,1.179999948,1,0,1,1,2,0
32000,3,0,0,0.910000026,1,0,1,1,3,0
34731,1,1,1,0.850000024,1,0,1,1,4,3
62059,0,3,3,1.169999957,1,0,1,1,1,0
61008,0,2,2,1.330000043,1,0,1,1,2,1
33680,0,3,3,0.879999995,1,0,1,1,4,1
35206,0,3,2,0.850000024,1,0,1,1,4,0
35257,0,2,2,0.850000024,1,0,1,1,4,1
35782,1,2,2,0.99000001,1,0,1,1,4,0
39000,4,0,0,1.220000029,1,0,1,1,4,0
41037,2,1,1,1.129999995,1,0,1,1,4,1
34468,0,3,3,0.850000024,1,0,1,1,2,0
31000,0,0,0,0.879999995,1,0,1,1,3,0
37905.30078,0,10,5,0.779999971,1,0,2,1,3,0
40512,0,3,3,1.039999962,1,0,1,1,3,0
37000,3,0,0,1,1,0,1,1,1,0
48000,3,0,0,1.139999986,1,0,1,1,1,0
46292,1,2,2,1.139999986,1,0,1,1,2,0
37410,0,4,3,0.879999995,1,0,1,1,4,1
39986,1,3,3,0.959999979,1,0,1,1,4,1
48395,0,3,3,1.210000038,1,0,1,1,4,0
30000,3,0,0,0.779999971,0,0,1,1,3,2
40066,0,4,4,0.879999995,1,0,1,1,3,2
38600,1,3,1,0.930000007,1,0,1,1,2,0
58930,0,6,0,1.169999957,1,0,2,1,2,1
38936,2,2,2,0.99000001,1,0,1,1,4,1
59110,0,4,4,1.330000043,1,0,1,1,1,0
60423,0,5,5,1.24000001,1,0,1,1,1,4
33680,4,1,1,0.790000021,1,0,1,1,3,4
38000,4,0,0,0.910000026,1,0,1,1,3,0
42088,1,3,3,1.139999986,1,0,1,1,4,2
40000,4,0,0,1,1,0,1,1,3,0
40512,4,1,1,1,1,0,1,1,3,0
34157,0,5,5,1,1,0,1,1,4,2
36308,3,2,2,0.800000012,1,0,1,1,1,0
59880,0,6,0,1.179999948,1,0,2,1,1,2
32000,1,5,5,0.74000001,1,0,1,1,3,0
33154,2,2,2,0.790000021,1,0,1,1,3,1
33680,1,3,3,0.850000024,1,0,1,1,3,1
35317,0,7,7,0.860000014,1,0,1,1,4,1
53376,0,6,0,1.210000038,1,0,2,1,1,1
29500,6,0,0,0.790000021,1,0,1,1,3,0
38333,0,7,2,0.800000012,1,0,2,1,3,2
36833,2,3,3,0.920000017,1,0,1,1,4,2
61439,0,7,2,1.169999957,1,0,2,1,4,3
63155,0,6,0,1.330000043,1,0,2,1,1,0
58118,0,5,5,1.330000043,1,0,1,1,1,0
35980,2,4,4,0.99000001,1,0,1,1,2,3
38265,2,4,1,0.829999983,1,0,2,1,3,3
37500,0,7,1,0.730000019,1,0,2,1,4,3
39986,1,4,4,1.169999957,1,0,1,1,4,0
41974,0,6,0,1,1,0,2,1,4,3
30927,1,6,6,0.790000021,1,0,1,1,3,3
37500,0,6,0,0.920000017,1,0,2,1,3,0
37884,4,2,2,1.090000033,1,0,1,1,3,0
41483,1,5,2,0.930000007,1,0,2,1,3,1
37363,2,4,4,0.930000007,1,0,1,1,4,0
42088,6,1,1,0.819999993,1,0,2,1,4,0
46975,0,7,2,1.039999962,1,0,2,1,2,1
29000,6,0,0,0.779999971,0,0,1,1,3,0
56278,3,5,5,1.230000019,0,0,1,1,2,0
30001,4,3,3,0.769999981,1,0,1,1,3,1
