CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type,2018,Footnotes,Type,2019,Footnotes,Type
4,Afghanistan,567,Y,"Proportion of land area covered by forest, percentage",2.1,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.1,,E, , , , , , , , , , , , ,2.1,,E, , , , , , , , , , , , ,2.1,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,Afghanistan,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",2676.9,,G,2493.6,,G,1426.5,,G,1375.1,,G,1320.1,,G,1268.8,,G,1199.1,,G,1114.8,,G,1056.1,,G,832.4,,G,781.1,,G,645.4,,G,894.7,,G,1037.8,,G,957.1,,G,1338.5,,G,1657.5,,G,2280.9,,G,4217.1,,G,6776.6,,G,8470.8,,G,12251.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
4,Afghanistan,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.36,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.36,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.46,,C, , , , , , , , , , , , , , , 
8,Albania,567,Y,"Proportion of land area covered by forest, percentage",28.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,28.1,,C, , , , , , , , , , , , ,28.5,,C, , , , , , , , , , , , ,28.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,Albania,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",7488,,G,3971.4,,G,2387.2,,G,2343.2,,G,1928.8,,G,2086.5,,G,2016.9,,G,1543.8,,G,1752.8,,G,2984.9,,G,3021.6,,G,3223.3,,G,3751.3,,G,4294.1,,G,4165.7,,G,4253.7,,G,3865,,G,4477.4,,G,4657.1,,G,4488.4,,G,4415.1,,G,4668.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
8,Albania,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.15,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.48,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.91,,C, , , , , , , , , , , , , , , 
12,Algeria,567,Y,"Proportion of land area covered by forest, percentage",0.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.7,,C, , , , , , , , , , , , ,0.6,,C, , , , , , , , , , , , ,0.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,Algeria,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",78924.8,,G,81220.4,,G,81935.4,,G,82294.8,,G,86500.9,,G,95345.7,,G,97131.5,,G,88195,,G,107080.1,,G,92118.7,,G,87931,,G,84293.3,,G,90853.6,,G,92533.1,,G,89493.1,,G,107127.7,,G,100919.5,,G,109294.9,,G,111575.8,,G,121374,,G,119276.5,,G,121755.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
12,Algeria,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",5.97,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.98,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.46,,C, , , , , , , , , , , , , , , 
16,American Samoa,567,Y,"Proportion of land area covered by forest, percentage",90,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,,C, , , , , , , , , , , , ,90,,C, , , , , , , , , , , , ,90,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,American Samoa,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,American Samoa,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.06,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.06,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.62,,C, , , , , , , , , , , , , , , 
20,Andorra,567,Y,"Proportion of land area covered by forest, percentage",35.6,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,35.6,,E, , , , , , , , , , , , ,35.6,,E, , , , , , , , , , , , ,35.6,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,Andorra,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , ,407,,G,425.4,,G,458.4,,G,484,,G,513.4,,G,524.4,,G,524.4,,G,531.7,,G,535.4,,G,564.7,,G,575.7,,G,546.4,,G,539,,G,539,,G,517,,G,517,,G,491.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
20,Andorra,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",5.53,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.25,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19.5,,C, , , , , , , , , , , , , , , 
24,Angola,567,Y,"Proportion of land area covered by forest, percentage",48.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,47.9,,C, , , , , , , , , , , , ,47.4,,C, , , , , , , , , , , , ,46.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
24,Angola,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",4429.7,,G,4367.4,,G,4418.7,,G,5801.2,,G,3890.7,,G,11012,,G,10491.3,,G,7381.7,,G,7308.3,,G,9156.5,,G,9541.5,,G,9732.2,,G,12665.8,,G,9064.8,,G,18793.4,,G,19156.4,,G,22266,,G,25152,,G,27172.5,,G,29361.7,,G,29743,,G,29710,,G, , , , , , , , , , , , , , , , , , , , , , , , 
24,Angola,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",4.97,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.97,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.98,,C, , , , , , , , , , , , , , , 
